Wall time,Step,Value
1556158536.713306,1000,0.0009028950007632375
1556158562.7553585,1600,5.8954865380655974e-05
1556158601.250584,2500,0.0001290908840019256
1556158717.312785,5200,7.79073525336571e-05
1556158769.0893154,6400,4.50567458756268e-05
1556158808.034905,7300,5.6682416470721364e-05
1556158846.7670844,8200,2.858325569832232e-05
1556158873.0119362,8800,2.9108223316143267e-05
1556158988.193637,11500,7.343474862864241e-05
1556159026.6970997,12400,2.0759563994943164e-05
1556159039.444037,12700,2.0711875549750403e-05
1556159155.3051655,15400,4.1446917748544365e-05
1556159193.9955556,16300,5.01485301356297e-05
1556159219.792015,16900,2.3026317649055272e-05
1556159232.9459283,17200,3.108900637016632e-05
1556159258.6858342,17800,2.1201673007453792e-05
1556159401.0510447,21100,1.9719158444786444e-05
1556159544.815596,24400,2.0376361135276966e-05
1556159557.7718415,24700,1.6310304999933578e-05
1556159570.992683,25000,2.0375464373501018e-05
1556159623.0707333,26200,2.0114901417400688e-05
1556159661.608489,27100,1.5419844203279354e-05
1556159674.451433,27400,1.9089995475951582e-05
1556159763.853417,29500,2.7064561436418444e-05
1556159854.644615,31600,1.5144893950491678e-05
1556159867.0634875,31900,2.032946576946415e-05
1556159880.4834352,32200,1.470406186854234e-05
1556159970.994839,34300,1.3281312931212597e-05
1556160126.3917637,37900,1.3876672710466664e-05
1556160165.7710779,38800,1.5022487787064165e-05
1556160204.171487,39700,1.4162203115120064e-05
1556160217.2454333,40000,1.6254758520517498e-05
1556160311.3005486,42100,1.37340284709353e-05
1556160336.4985392,42700,1.7346157619613223e-05
1556160557.3479397,47800,1.727325980027672e-05
1556160570.3213155,48100,1.2633108781301416e-05
1556160583.4228895,48400,1.5583405911456794e-05
1556160700.9067004,51100,1.2207865438540466e-05
1556160753.5264738,52300,3.029629988304805e-05
1556160766.7816014,52600,1.8950366211356595e-05
1556160882.927504,55300,1.8089756849803962e-05
1556160895.3710532,55600,1.6260000847978517e-05
1556160934.0386138,56500,1.7869046132545918e-05
1556160998.5366228,58000,1.63932672876399e-05
1556161010.7228494,58300,1.5135834473767318e-05
1556161089.199135,60100,1.644067197048571e-05
1556161102.2096667,60400,1.3274736375024077e-05
1556161188.8391871,62200,1.150095704360865e-05
1556161228.8271863,63100,1.5474339306820184e-05
1556161294.606921,64600,1.3380044038058259e-05
1556161349.4329917,65800,1.2725713531835936e-05
1556161363.1475742,66100,1.968795550055802e-05
1556161401.8600943,67000,1.4397412996913772e-05
1556161415.1382089,67300,9.686673365649767e-06
1556161481.037632,68800,1.333657382929232e-05
1556161559.1186538,70600,1.3911314454162493e-05
1556161572.2547634,70900,1.530838562757708e-05
1556161585.2442217,71200,1.1867548892041668e-05
1556161608.199453,71500,1.3285918612382375e-05
1556161660.0668297,72700,1.2008453268208541e-05
1556161699.2530313,73600,1.4940749679226428e-05
1556161725.1501315,74200,1.0637642844812945e-05
1556161895.7545748,78100,1.0803290933836251e-05
1556161948.077159,79300,1.092611546482658e-05
1556162101.877095,82600,9.960496754501946e-06
1556162127.7126575,83200,9.438583219889551e-06
1556162140.6550436,83500,1.3460396075970493e-05
1556162176.9081826,84100,9.27086512092501e-06
1556162191.1256268,84400,1.0173494047194254e-05
